ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00001662,PR-00001129,Child care,Goodstart Early Learning Stafford,Goodstart Early Learning Ltd,14 Lennon Street  ,STAFFORD,QLD,4053,3857 2377,3857 2388,sod@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/24/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/stafford/overview,6 weeks -  5 years,"""6 weeks - 2 years: $84.30, 2 - 3 years: $81.70, 3 - 5 years: $81.70""",6:30 am to 6:30 pm,T,F,F,F,,F
SE-00000459,PR-00001129,Child care,Goodstart Early Learning Stafford Heights,Goodstart Early Learning Ltd,Cnr Ringrose St & Appleby Rd  ,STAFFORD HEIGHTS,QLD,4053,07 3350 4688,33593942,sht@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,64,11/29/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.goodstart.org.au/centres/stafford-heights/overview,6 weeks - 5 years,"""6 weeks - 15 months: $80.50, 12 months - 2 years: $78.40, 2 - 5 years: $77.90""",6:30am - 6:00pm,F,F,F,F,,F
SE-00000566,PR-00000034,Child care,Gumtree Cottage,Octans Pty. Ltd.,122 Rogers Parade East  ,EVERTON PARK,QLD,4053,07 3353 0244,07 3632 1123,admin@gumtreecottage.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/24/11,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,www.gumtreecottage.com.au,6 weeks - 5 years,"""6 weeks - 3 years: $77.00, 3 - 5 years: $74.00""",6:30am - 6:30pm,T,T,F,,,F
SE-00001039,PR-00000250,OSHC,Jabiru Kids Stafford,Jabiru Community Youth & Children's Services Association Inc,Cnr Stafford & Webster Roads  ,STAFFORD,QLD,4053,0438 542 465,07 3869 0675,stafford@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication  date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,59,12/5/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.jabiru.org.au/kids/about/stafford/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC: $45.90""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F
SE-40001541,PR-40001394,Child care,Kindy Garden,Kindy Garden Pty Ltd as Trustee for Kindy Garden Unit Trust,1035 Rode Rd  ,MCDOWALL,QLD,4053,07 3353 5555,,thekindygarden@gmail.com, This service is approved to provide education and care to 90 children from birth up to and including over preschool age The service is not approved to provide education and care to school children.,90,1/17/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://kindygarden.net.au/,6 weeks - 5 years,,6:30am - 6:30pm,T,F,F,,,F
SE-00001158,PR-00000465,OSHC,McDowall State School Outside School Hours Care Program,McDowall State School Parents and Citizens Association,1018 Rode Road  ,MCDOWALL,QLD,4053,07 3353 5755,07 3353 5350,admin@mcdowallosh.org.au, The maximum number of children able to be provided with education and care during school holidays is 120 The maximum number of children able to be provided with education and care before school is 120 The maximum number of children able to be provided with education and care after school is 238,238,4/12/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,"""BSC: $14.00 - $15.00, ASC: $18.00 - $19.00, VC: $42.00""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:30pm, VC: 6:30am - 6:30pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00001945,PR-00000870,Child care,McDowall Village Childcare,McDowall Village Childcare ,Cnr Beckett and Hamilton Road  ,MCDOWALL,QLD,4053,07 3353 5511,07 3353 8893,mcdowall@atcm.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/21/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://mcdowallvillagechildcare.com.au/,6 weeks - 5 years,"""6 weeks - 15 months: $76.50, 15 months - 3 years: $74.50, 3 - 5 years: $74.50""",6:30am - 6:30pm,"""Morning tea, afternoon tea""",F,T,,,F
SE-00000410,PR-00000888,Child care,Mitchelton Child Care Centre and Preschool,Gpmk Pty Ltd,Cnr Church & Blaker Roads  ,MITCHELTON,QLD,4053,07 3354 1853,07 3354 4732,info@mitcheltonccc.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,4/21/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,www.mitcheltonccc.com,6 weeks - 5 years,"""6 weeks - 15 months: $81.00, 15 - 30 months: $80.00, 30 months - 5 years: $75.00""",6:30am - 6:00pm,F,F,F,,,F
SE-00001420,PR-00000592,Child care,Mitchelton Pre-Schooling Centre,Mitchelton Pre-Schooling Centre Inc,29 Kedron Avenue  ,MITCHELTON,QLD,4053,07 3355 2535,07 3355 2505,admin@mpc.net.au, This service is approved to provide a rest period from 1:00pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,75,6/20/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.mpc.net.au/,3.5 years - 4.5 years,"""3.5 - 4.5 years: $691.00 - $829.00 per term + $10.00 waitlist fee""",7:30am - 5:30pm,F,F,F,,,T
SE-00000397,PR-00000734,Child care,Mother Duck Child Care - Gaythorne,Bailing Pty Ltd,23 Heliopolis Parade  ,MITCHELTON,QLD,4053,07 3855 1090,07 3354 4365,gaythorne@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,110,1/3/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.motherduck.com.au/our-centres/gaythorne,6 weeks - 5 years,"""6 weeks - 2 years: $76.75, 2 - 3 years: $75.40, 3 - 5 years: $71.50""",6:30am - 6:30pm,F,F,F,,,F
SE-00011350,PR-00006553,Child care,Next Steps Kindy,Next Steps Kindy Ltd,151 Flockton Street   ,EVERTON PARK,QLD,4053,3353 7272,07 3353 3922,info@nextstepskindy.com.au, This service is approved to provide education and care to children from children from 24 months up to and including over preschool age not including school children. An approved alternative solution relating to Performance Criteria P7 Sluicing Facilities within SP5.4 Child Care Centres of the Queensland Development Code ( with a publication date of 23 November 2005 ) applies to this service.,48,12/21/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.nextstepskindy.com.au/,2.5 - 5 years,"""2.5 - 4.5 years: $73.00 + $20.00 application fee + $200.00 security bond""",7:30am - 6:00pm,F,F,F,,,F
SE-00001194,PR-00000805,OSHC,Northside Christian College After School/Vacation Care,Northside Christian College (Qld) Ltd,151 Flockton Street  ,EVERTON PARK,QLD,4053,07 3353 1266,07 3353 4628,bbu@northside.org.au, This service is approved to provide education and care to children from over preschool age including school children.,45,11/21/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.northside.qld.edu.au/enrolments/before-and-after-school-care/,5 - 12 years ,"""BSC: $10.00, ASC: $17.00, VC: $40.00 - $45.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 8:00am - 6:00pm""",F,F,F,,,F
SE-00000087,PR-00000400,Child care,Nurseryland Early Childhood Learning Centre - Stafford,Belbaker Pty Limited,Cnr McNaughton & Bythe Sts  ,STAFFORD,QLD,4053,07 3356 4967,,stafford@nurserylandchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 1:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,82,4/14/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://nurserylandchildcare.com.au/,6 weeks - 6 years,,7:00am - 6:00pm,,,,,,F
SE-00000987,PR-00000702,OSHC,Our Lady Of Dolours Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,2 Willcocks Street  ,MITCHELTON,QLD,4053,07 3855 9068,07 3855 2641,mitcheltonoshc@bne.centacare.net.au, The service is approved to provide education and care to children before and after school only. An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a pulication date of 16 November 2007) applies to this service.  The service is approved to provide education and care to children from over preschool age including school children.,60,10/7/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ourladyofdolours.qld.edu.au/oshc.htm,5 - 12 years,"""BSC: $8.00, ASC: $18.00 - $20.00 + $20.00 equipment levy per year""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00000943,PR-00000659,OSHC,PCYC Hills District - Everton Park SAC,Queensland Police-Citizens Youth Welfare Association ,Everton Park Primary School  Deakin Street,EVERTON PARK,QLD,4053,07 3355 5050,07 3355 5050,evertonparksac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,75,10/24/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Hills-District-Everton-Park.aspx,5 - 12 years,"""BSC: $15.50, ASC: $20.50, VC: $50.00 + $20.00 PCYC membership fee per year""","""BSC: 6:30 - 830am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001771,PR-00000659,OSHC,PCYC Hills District- Stafford Heights School Age Care,Queensland Police-Citizens Youth Welfare Association ,Stafford Heights State School  Redwood Street,STAFFORD HEIGHTS,QLD,4053,07 3359 6899,07 3356 4965,may.jabbour@pcyc.org.au, An approved alternative solution relating to Performance Criteria P2 Accessibility and P16 Electrical safety precautions within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,57,1/21/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Hills-District-Stafford-Heights.aspx,5 - 12 years,"""BSC: $15.50, ASC: $20.50, VC: $42.00 + $20.00 PCYC membership fee per year""","""BSC: 6:30 - 830am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00002343,PR-00000697,School hours care,Prince Of Peace Lutheran Kindergarten,Lutheran Church of Australia Queensland District,20 Rogers Parade West  ,EVERTON PARK,QLD,4053,07 3872 5761,07 35114051,princeofpeace.kgt@qlecs.org.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,5/3/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://d1091357-10762.myweb.iinethosting.net.au/princeofpeace.qld.edu.au/web/junior/kindergarten.php,3.5 - 4.5 years,,8:15am - 3:45pm,,,,,,F
SE-00001072,PR-00000697,OSHC,Prince Of Peace Outside School Hours Care,Lutheran Church of Australia Queensland District,20 Rogers Parade West  ,EVERTON HILLS,QLD,4053,07 3872 5740,07 3353 2483,princeofpeace.oshc@qlecs.org.au, The service is approved to provide education and care to:* 100 children after school and during school holidays; and* 66 children before school. This service is approved to provide education and care to children from over preschool age including school children.,100,10/3/11,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.qlecs.org.au/index.php?ref=MTkzNw==,5 - 13 years,"""BSC: $17.50 - $20.50, ASC: $17.50 - $20.50, VC: $45.00 - $48.00""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Afternoon tea""",F,F,,,F
SE-00002273,PR-00000702,OSHC,Queen Of Apostles Junior Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Chuter St  ,STAFFORD,QLD,4053,0488 174 999,33565870,staffordoshc@bne.centacare.net.au, The service is approved to provide education and care to children after school only. This service is approved to provide education and care to children from over preschool age including school children.,59,7/1/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.qofa.qld.edu.au/html/forparents/ohsc.html,5 - 12 years,"""BSC: $14.00 - $16.00, ASC: $18.00 - $20.00, VC: $42.00 - $47.00 + $35.00 enrolment fee per family""","""BSC: 6:45 - 8:45am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001068,PR-00000702,OSHC,Queen Of Apostles Outside School Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,10 Thuruna Street  ,STAFFORD,QLD,4053,0488 174 999,07 3356 5870,staffordoshc@bne.centacare.net.au, An approved alternative solution relating to P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,45,7/1/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qofa.qld.edu.au/html/forparents/ohsc.html,,"""BSC: $18.00 - $20.00, ASC: $18.00 - $20.00, VC: $42.00 - $47.00 + $35.00 enrolment fee per family""","""BSC: 6:45 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
