ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00000318,PR-00001197,Child care,Beehive Kindy,Rachael Selina O'Carroll and David Brendon O'Carroll ATF ACJ Family Trust ,15 Pikett Street  ,CLONTARF,QLD,4019,07 3883 2668,3283 2699,beef@westnet.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 50 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,44,12/21/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.beehivekindy.com.au/,15 months - 5 years,,6:30am - 6:00pm,F,F,F,F,,F,,,,,,,,,,,,,,,,,,
SE-00000743,PR-00000937,Child care,Clontarf World Of Learning,World of Learning Pty Limited,336 Elizabeth Avenue  ,CLONTARF,QLD,4019,07 3883 2230,3283 2960,clontarf@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,52,10/18/10,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.worldoflearning.com.au/centres/childcare-clontarf/,6 weeks - 5 years,"""6 weeks - 24 months: $82.00, 35 - 35 months: $79.00, 36 months - 5 years: $79.00""",6:30am - 6:30pm,T,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00001689,PR-00000447,Child care,Creative Kids Early Childhood Centre,Batchgoi Pty Ltd,195 Elizabeth Avenue  ,CLONTARF,QLD,4019,07 32840739,07 32840739,creativekids@optusnet.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 84 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,2/2/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,,6 weeks - 5 years,"""6 weeks - 2 years: $72.00, 2 - 3 years: $70.00, 30 months - 5 years: $69.00""",6.30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002404,PR-00000447,OSHC,Creative Kids Outside School Hours Care,Batchgoi Pty Ltd,195 Elizabeth Avenue   ,CLONTARF,QLD,4019,3284 0195,3883 4413,creativekidsoshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,57,10/10/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,"""VC: $55.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001351,PR-00000629,School hours care,Florence Kindergarten,Florence Kindergarten & Preschool Inc,15 Beaconsfield Street  ,MARGATE,QLD,4019,07 3284 5243,3284 5743,florencekindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,2/15/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/florence,4 - 5 years,"""4 - 5 years: $23.00 per day + $16.50 waitlist fee + $33.00 membership fee + $60.00 equipment levy + $50.00 bookkeeping fee + $25.00 maintenance levy + $52.00 entertainment fee + $50.00 building fund""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001064,PR-00000697,OSHC,Grace Outside School Hours Care,Lutheran Church of Australia Queensland District,Grace Lutheran Primary School  38 Maine Road,CLONTARF,QLD,4019,07 3284 2433,,goshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,78,2/20/09,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.graceprimary.qld.edu.au/ModCoreFrontEnd/resources-detail.asp?pageid=122,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $40.00""","""BSC: 7:00 - 9:30am, ASC: 3:50 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002220,PR-00000659,OSHC,PCYC Redcliffe - Humpybong School Age Care,Queensland Police-Citizens Youth Welfare Association ,Humpybong State School  Ernest Street,MARGATE,QLD,4019,3284 3267,3283 6421,humpybongsac@pcyc.org.au, The service has approvakl to provide education and care to children from over preschool age including school children.,75,7/20/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.redcliffepcyc.com.au/child-care/child-care-services/7-child-care,5 - 12 years,"""BSC: $14.00, ASC: $19.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm""",F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001727,PR-00000431,"Child care, OSHC",Sesame Lane Child Care - Clontarf,Sesame Lane Pty Ltd,10-22 Lucinda Street  ,CLONTARF,QLD,4019,07 3283 6455,07 3883 3015,clontarf@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education adn care to children from birth up to and including school children.,75,7/12/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.sesamelane.com.au/sesamelaneclontarf,6 weeks - 12 years,"""6 weeks - 2 years: $79.00, 2 - 5 years: $75.00, BSC: $19.00, ASC: $24.00, VC: $64.00""",6:30am - 6:30pm,T,F,T,,,T,,,,,,,,,,,,,,,,,,
SE-00000661,PR-40000902,"Child care, OSHC",Whiz Kids Margate,Paviram Pty Ltd,Cnr Balmoral and Windsor Streets  ,MARGATE,QLD,4019,07 3883 3388,07 3284 2880,margate@whizkids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,77,9/15/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.whizkids.net.au/Margate/margate.html,15 months - 12 years,"""15 months - 3 years: $74.00, 3 - 5 years: $71.00, BSC: $18.00, ASC: $22.00, VC: $65.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001257,PR-00008029,School hours care,C&K Anne Shearer Kindergarten & Pre School,The Creche and Kindergarten Association Limited,36 Sydney Street  ,REDCLIFFE,QLD,4020,07 3284 4637,,anneshearer@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,3/7/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/anneshearer,4 - 5 years,"""4 - 5 years: $29.12 per day + $100 enrolment fee""",8:40am - 2:50pm,F,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00000417,PR-00001129,Child care,Goodstart Early Learning Redcliffe - Ashmole Road,Goodstart Early Learning Ltd,39 Ashmole Road   ,REDCLIFFE,QLD,4020,07 3284 3898,,red@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,68,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/redcliffe-ashmole-road/overview,6 weeks - 6 years,"""6 weeks - 2 years: $86.70, 15 months - 3 years: $76.90, 3 - 6 years: $76.90""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000763,PR-00001129,Child care,Goodstart Early Learning Redcliffe - Williams Street,Goodstart Early Learning Ltd,33 Williams Street  ,REDCLIFFE,QLD,4020,07 3284 7144,,rec@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,45,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/redcliffe-williams-street/overview,15 months - 6 years,"""15 months - 2 years: $86.30, 2 - 3 years: $80.70, 3 - 6 years: $76.50""",6:30am - 6:30pm,T,T,F,F,,F,,,,,,,,,,,,,,,,,,
SE-00000220,PR-00000697,Child care,Grace Creche and Kindergarten,Lutheran Church of Australia Queensland District,3 Meredith St  ,REDCLIFFE,QLD,4020,07 3284 7700,3883 3131,admin@gck.org.au;director@gck.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,122,7/7/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.qlecs.org.au/index.php?ref=MTk2NQ==,6 weeks - 5 years,"""6 weeks - 3 years: $74.00, 3 - 5 years: $70""",6:30am - 6:00pm,F,F,F,F,,F,,,,,,,,,,,,,,,,,,
SE-00001017,PR-00000702,OSHC,Holy Cross Catholic Parish  - Redcliffe City School Age Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,299 Scarborough Road  ,SCARBOROUGH,QLD,4020,07 3880 0275,3880 0275,scarboroughoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,65,2/3/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $48.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:30pm, VC: 6:30am - 6:30pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002125,PR-00000659,OSHC,PCYC Redcliffe - Scarborough School Age Care,Queensland Police-Citizens Youth Welfare Association ,Scarborough State School  Eversleigh Road,SCARBOROUGH,QLD,4020,3203 4800; 3385 1900,,scarboroughsac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P16 Electrical Safety Precautions within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,75,4/14/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.redcliffepcyc.com.au/child-care/child-care-centres#scarborough,5 - 12 years,"""BSC: $17.00 - $22.00, ASC: $22.00 - $27.00""","""BSC: 6:00 - 8:30am, ASC: 3:00 - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000218,PR-00000431,"Child care, OSHC",Sesame Lane Redcliffe,Sesame Lane Pty Ltd,Cnr Anzac Avenue And  Victoria Avenue,REDCLIFFE,QLD,4020,07 3283 3083,3283 3526,redcliffe@sesamelane.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 95 children This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies to children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,90,6/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.sesamelane.com.au/redcliffe,6 weeks - 5 years,"""6 weeks - 2 years: $81.00, 2 - 5 years: $77.00, 6 - 12 years BSC: $19.00, 6 - 12 years ASC: $24.00, 6 - 12 years VC: $64.00""",6:30am - 6:30pm,T,F,T,,,F,,,,,,,,,,,,,,,,,,
SE-00001953,PR-00000874,"Child care, OSHC",Bumper Bears Early Learning Centre,C.P Sourris & J.P Sourris & M.C Sourris & P.C Sourris Jnr & P.J Sourris Jnr & S.J Sourris,401 Elizabeth Avenue  ,KIPPA-RING,QLD,4021,3283 7700,3283 7702,bumperbears@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/16/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,www.bumperbears.com.au,6 weeks -  9 years,"""6 weeks - 24 months: $79.00, 25 months - 5 years: $75.00, 6 - 9 years BSC: $22.00, 6 - 9 years ASC: $25.00""",6:30 am to 6:00 pm,T,T,F,,F,F,,,,,,,,,,,,,,,,,,
SE-00002379,PR-00002539,OSHC,Camp Australia - Hercules Road State School OSHC,Camp Australia Pty Limited,Hercules Road  ,KIPPA RING,QLD,4021,0432 261 676,3897 4300 (school fax),qldhercules@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,70,7/19/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.campaustralia.com.au/Service/QLDHerculesRoadStateSchool/0323,5 - 12 years,"""BSC: $13.77 - $18.77, ASC: $20.81 - $25.81, VC: $45.00""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:30pm, VC: 6:30am - 6:30pm""",T,T,T,,,T,,,,,,,,,,,,,,,,,,
SE-40001373,PR-00000702,OSHC,Holy Cross OSHC (McKillop Campus),The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Southern Cross Catholic Colleg  110 Nottingham St,KIPPA-RING,QLD,4021,07 3367 6300,,kipparingoshc@bne.centacare.net.au,,45,12/9/13,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,,,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001396,PR-00000480,School hours care,Kippa Ring Kindergarten & Preschool.,Kippa-Ring Kindergarten & Preschool Association Inc,7 Kappella Street  ,KIPPA-RING,QLD,4021,07 3284 8124,3284 8124,kipparingkindy@ozonline.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,3/1/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/kipparing,4 - 5 years,"""4 - 5 years: $24.00 per day + $50.00 holding deposit + $230 enrolment deposit + $12.50 building fund per term""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001196,PR-00000659,OSHC,PCYC Redcliffe School Age Care,Queensland Police-Citizens Youth Welfare Association ,Police Youth Club  Klingner Road,KIPPA-RING,QLD,4021,07 3385 1911; 07 3385 1900,07 3283 2445,kellie.oakes@pcyc.org.au; redcliffesac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,160,7/31/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.redcliffepcyc.com.au/child-care/vacation-care,5 - 12 years,"""BSC: $18.00, ASC: $23.00, VC: $47.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000219,PR-00001052,Child care,Peninsula Early Learning Centre,Child Care Kippa Ring Pty Ltd,47 McCosker Street  ,KIPPA-RING,QLD,4021,07 3880 1158,07 3880 1058,director@peninsulaelc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,9/30/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.littleheroes.net.au/,6 weeks - 6 years,"""6 weeks - 6 years: $71.00 - $72.00""",6:15am - 6:15pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001613,PR-00000431,"Child care, OSHC",Sesame Lane Child Care Centre - Kippa-Ring 1,Sesame Lane Pty Ltd,20-36 Regency Street  ,KIPPA-RING,QLD,4021,07 3480 8010,3480 8019,kipparing1@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/29/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.sesamelane.com.au/sesamelanekipparing1,6 weeks -  12 years,"""6 weeks - 2 years: $81.00, 2 - 5 years: $77.00, 6 - 12 years BSC: $19.00, 6 - 12 years ASC: $24.00, 6 - 12 years VC: $64.00""",6:30am - 6:30pm,T,F,T,,T,F,,,,,,,,,,,,,,,,,,
SE-00013945,PR-00000431,"Child care, OSHC",Sesame Lane Child Care Centre - Kippa-Ring 3,Sesame Lane Pty Ltd,20-36 Regency Street  ,KIPPA-RING,QLD,4021,3480 8030,3480 8039,kipparing3@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  The ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/1/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://sesamelane.com.au/sesamelanekipparing3,6 weeks -  12 years,"""6 weeks - 2 years: $81.00, 2 - 5 years: $77.00, 6 - 12 years BSC: $19.00, 6 - 12 years ASC: $24.00, 6 - 12 years VC: $64.00""",6:30am - 6:30pm,T,F,T,,,F,,,,,,,,,,,,,,,,,,
SE-00013940,PR-00000431,"Child care, OSHC",Sesame Lane Child Care Centre Kippa-Ring 2,Sesame Lane Pty Ltd,20-36 Regency Street  ,KIPPA-RING,QLD,4021,07 3480 8020,3480 8029,kipparing2@sesamelane.com.au, This service is approved to continue to use and educator to child ration of 1:5 for children from 15 months to 24 months of age.  The ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/1/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://sesamelane.com.au/sesamelanekipparing2,6 weeks -  12 years,"""6 weeks - 2 years: $81.00, 2 - 5 years: $77.00, 6 - 12 years BSC: $19.00, 6 - 12 years ASC: $24.00, 6 - 12 years VC: $64.00""",6:30am - 6:30pm,T,F,T,,,F,,,,,,,,,,,,,,,,,,
SE-00001666,PR-00000431,OSHC,Sesame Lane School Zone,Sesame Lane Pty Ltd,20-36 Regency Street  ,KIPPA-RING,QLD,4021,3480 8040,,krschoolzone@sesamelane.com.au, This service is approved to provide education and care to children from over preschool age including school children.,50,1/12/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://sesamelane.com.au/centres/kipparingschoolzone/,5 - 12 years,"""BSC: $17.00, ASC: $21.00, VC: $61.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000463,PR-00001129,Child care,Goodstart Early Learning Rothwell,Goodstart Early Learning Ltd,4 McGahey Street  ,ROTHWELL,QLD,4022,07 3204 7100,,rot@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/rothwell/overview,6 weeks - 5 years,"""6 weeks - 15 months: $81.60, 25 - 35 months: $74.90, 36 months - 5 years: $73.90""",6:00am - 6:00pm,T,F,F,T,,F,,,,,,,,,,,,,,,,,,
SE-00001659,PR-00000196,Child care,Little Champs Early Learning Centre,John Junior Enterprises Pty Ltd and Roxy Nominees Pty Ltd ATF John Junior Trust and the Trustee for the Roxy Trust,52-56 Coman Street  ,ROTHWELL,QLD,4022,3203 3455,3203 1473,director@littlechampselc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,9/29/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 5 years,,6:15am - 6:15pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000649,PR-00000556,Child care,Mueller College Early Learning Centre,Redcliffe Assembly Inc,75 Morris Road  ,ROTHWELL,QLD,4022,07 3897 2756,3897 2705,s.coulson@mueller.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,115,1/15/10,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.mueller.qld.edu.au/earlylearningcentre/,6 weeks - 5 years,"""6 weeks - 2 years: $78.50, 2 - 3 years: $74.50, 3 - 5 years: $60.00""",6:30am - 6:00pm,F,F,F,,F,F,,,,,,,,,,,,,,,,,,
SE-00000955,PR-00000556,OSHC,Mueller College Outside School Hours Care,Redcliffe Assembly Inc,Mueller College  75 Morris Road,ROTHWELL,QLD,4022,3897 2754,3897 2705,s.coulson@mueller.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,60,12/25/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,,"""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F,,,,,,,,,,,,,,,,,,
