ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment
SE-00001841,PR-00000697,Outside Hours Care*,Living Faith OSHC,Lutheran Church of Australia Queensland District,60 Brays Road  ,MURRUMBA DOWNS,QLD,4503,3385 0394,,livingfaith.oshc@qlecs.org.au, This service is approved to provide education and care to children from over preschool age including school children.,70,2/14/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qlecs.org.au/index.php?ref=MTkzNA==,"""ages 6 years to 12 years""",,"""BSC: 6.30am - 9.00am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",T,,,,,,,,
SE-00001815,PR-00000758,Long Day Care,Mother Duck Child Care and Preschool Centre - Kallangur,Ila Pty Ltd,1370 Anzac Avenue  ,KALLANGUR,QLD,4503,3886 0822,3886 0844,kallangur@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P8 Nappy Change facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,95,6/15/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Mother Duck Child Care and Preschool Centre - Kallangur,"""ages 6 weeks to 6 years""","""6 weeks - 35 months: $72.50, 36 months - 6 years: $70.00""",6.00am - 6.00pm,,,,,,,,,
SE-00002103,PR-00000758,Long Day Care,Mother Duck Childcare and Preschool Centre Kallangur 3,Ila Pty Ltd,6 Brewer Street  ,KALLANGUR,QLD,4503,07 3482 4444,07 3886 0844,kallangur3@motherduck.com.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,2/23/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mother Duck Child Care and Preschool Centre - Kallangur,"""ages 36 months to 6 years""","""36 months - 6 years: $70.00""",6.00am - 6.00pm,,,,,,,,,
SE-00002013,PR-00000771,Long Day Care,North Pine Christian College Child Care & Early Learning Centre,Seventh Day Adventist Schools (South Queensland) Limited,Cnr Old Gympie Road Hughes Road East  ,DAKABIN,QLD,4503,3204 6301,3204 6810,childcare@northpine.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,78,1/31/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.northpine.qld.edu.au/content/childcare,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $73.50, 15 months - 24 months: $71.50, 24 months - 36 months: $69.50, 30 months - 5 years: $69.50""""",6.30am - 6.00pm,,,,,,F,,,T
SE-00002203,PR-00000771,Out fo Hours Care*,North Pine Christian College Outside School Hours Care,Seventh Day Adventist Schools (South Queensland) Limited,29 Hughes Road   ,DAKABIN,QLD,4503,3204 4678,3204 6810,childcare@northpine.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,80,6/30/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.northpine.qld.edu.au/content/childcare,"""ages 5 years to 12 years""","""BSC: $16.00, ASC: $21.00, VC: $56.00""",6.30am - 6.00pm,,,,,,,,,
SE-00001445,PR-00000131,Short Day Care,Pine Rivers Kindergarten,Pine Rivers Kindergarten Association,22-30 Harding Street  ,KALLANGUR,QLD,4503,07 3285 2309,3285 1026,mail@pineriverskindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,6/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.pineriverskindy.com.au/,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $25.00""",8.30am - 2.45pm,F,,,,,T,$25.00,F,F
SE-00001649,PR-00000921,Long Day Care,Snugglepot Garden Early Learning Centre,Snugglepot Garden Early Learning Centre Pty Ltd,86 Whitehorse Road  ,DAKABIN,QLD,4503,07 3491 8059,07 3491 8062,snugglepotgarden@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,7/23/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,"""ages 6 weeks -to 4 years""","""6 weeks - 24 months: $70.00, 25 months - 35 months: $69.00, 36 months - 4 years: $68.00""",6.30am - 6.30pm,T,T,,,,,,,
SE-00001614,PR-40000594,Long Day Care,Sunrise Kids Early Education and Care - Kallangur,Sunrise Kids #3 Pty Ltd ATF Sunrise Kids Trust #3,Cnr Marsden & Ann Street  ,KALLANGUR,QLD,4503,3482 3084,,kallangur@sunrisekids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,58,5/7/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.sunrisekids.com.au/kallangur/,"""ages 6 weeks to 5 years""",,6.00am - 6.00pm,T,T,,,,,,,
SE-00011343,PR-00008029,Short Day Care,C&K Jinibara Community Kindergarten,The Creche and Kindergarten Association Limited, 12 Cottontree Drive   ,NARANGBA,QLD,4504,3385 7347,,jinibara@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,12/25/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/jinibara,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.35pm,,,,,,T,F,,
SE-00001648,PR-00001129,Long Day Care,Goodstart Early Learning Narangba,Goodstart Early Learning Ltd,232 Young Road  ,NARANGBA,QLD,4504,07 3385 5622,,nba@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,93,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/narangba/overview,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $83.90, 13 months - 35 months: $79.30, 36 months - 5 years: $76.70""",6.30am - 6.00pm,T,T,,,,,,,
SE-00002392,PR-00001030,Out of Hours Care,Helping Hands Narangba Valley,Helping Hands Network Pty Ltd,Narangba Valley State School  Creekside Drive,NARANGBA VALLEY,QLD,4504,5438 9549 (Head Office),5341 8958,narangbavalley@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,90,7/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,
SE-00000954,PR-00000250,Out of Hours Care*,Jabiru Kids Narangba,Jabiru Community Youth & Children's Services Association Inc,Cnr School & Narangba Roads  ,NARANGBA,QLD,4504,07 3886 6999,3886 8211,narangba@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,45,11/28/12,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.jabiru.org.au/kids/about/narangba/,"""ages 5 years to 12 years""","""BSC: 12.00, ASC: $18.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,
SE-00002163,PR-00001023,Out of Hours Care*,Jinibara State School P&C Association Outside School Hours Care,Jinibara State School P&C Association,50 Cottontree Drive  ,NARANGBA,QLD,4504,3385 7384,,jscha79@tpg.com.au, This service is approved to provide education and care to children from over preschool age including school children.,105,2/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://jinibarass.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: 13.00, ASC: $17.50, VC: $50.00""","""BSC: 6.30am - 9.00am, ASC: 3.00pm - 6.30pm, VC: 6.30am - 6.30pm""",T,,,,,,,,
SE-40000851,PR-40000752,Short Day Care,Peace of Mind Community Kindergarten,Peace of Mind Community Kindergarten Ltd,2-6 Ryder Ct  ,NARANGBA,QLD,4504,07 3888 2961,07 3888 7106,janet@peaceofmindfdc.com; kim@peaceofmindfdc.com,,22,7/20/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.peaceofmindfdc.com/,"""ages 3 years to 5 years""","""3 years - 5 years: $23.00""",8.30am - 2.30pm,,,,,,,,,
SE-00001947,PR-00000872,Family Day Care,Peace Of Mind Family Day Care,Peace of Mind Family Day Care,2-6 Ryder Court  ,NARANGBA,QLD,4504,07 3888 5558 ,07 3888 7106,peaceofmindfdc@bigpond.com,,0,2/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.peaceofmindfdc.com/,"""ages 6 weeks to 12 years""",,,,,,,,,,,
SE-00000726,PR-00000431,"""Long Day Care, Out of Hours Care""",Sesame Lane Child Care - Narangba 1,Sesame Lane Pty Ltd,25 Banyan Street  ,NARANGBA,QLD,4504,07 3886 9800,3886 9516,narangba@sesamelane.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45 pm to 4:00 pm when it is 82 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies to children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00 pm to 2:00 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,9/28/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://sesamelane.com.au/centres/,"""ages 6 weeks to 8 years""","""6 weeks - 35 months: $67.00, 36 months - 4 years: $63.00""",6.30am - 6.30pm,T,T,,,,,,,T
SE-00001568,PR-00000431,Long Day Care,Sesame Lane Child Care - Narangba 2,Sesame Lane Pty Ltd,1-9 Cottontree Drive  ,NARANGBA,QLD,4504,07 3385 5277,3385 5896,narangba2@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,74,1/3/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://sesamelane.com.au/centres/,"""ages 6 weeks to 8 years""","""6 weeks - 35 months: $67.00, 36 months - 4 years: $63.00""",6.30am - 6.30pm,T,T,,,,,,,T
SE-00001733,PR-00000431,Out of Hours Care*,Sesame Lane Childcare / School Zone - Narangba,Sesame Lane Pty Ltd,1-9 Cottontree Drive  ,NARANGBA,QLD,4504,07 3385 5277,3385 6045,schoolzone@sesamelane.com.au, This service is approved to provide education adn care to children from over preschool age including school children.,30,9/16/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://sesamelane.com.au/centres/,"""ages 5 years to 12 years""","""VC: $55.00""",6.30am - 6.30pm,T,,,,T,,,,T
SE-00001615,PR-00000838,Long Day Care,Tadpoles Early Learning Centre - Narangba 1,Bhl Childcare Limited,10 Main Street  ,NARANGBA,QLD,4504,3886 6578,3886 8848,narangba@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,80,10/30/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.tadpoles.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months $73.00, 36 months - 5 years: $71.00""",6.30am - 6.30pm,,,,,,,,,
SE-00013946,PR-00000838,Long Day Care,Tadpoles Early Learning Centre - Narangba 2,Bhl Childcare Limited,12 Main Street  ,NARANGBA,QLD,4504,3886 6488,3886 6188,narangba2@tadpoles.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00 pm to 5:00pm when it is 86 children This service is approved to provide education and care to children from 15 months up to and including school children. This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00 pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,86,6/22/16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.tadpoles.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months $73.00, 36 months - 5 years: $71.00""",6.30am - 6.30pm,,,,,,,,,
SE-00001298,PR-00000440,Short Day Care,Burpengary Kindergarten,Burpengary Kindergarten Association Inc,22 Henderson Rd  ,BURPENGARY,QLD,4505,07 3888 2720,3888 2720,burpengarykindy@optusnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,5/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/burpengary,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.00""",8.45pm - 2.45pm,F,,,,,T,$10,F,
SE-00001929,PR-00000711,Long Day Care,Burpengary Pre Prep and Creche,Kealera Pty Ltd ATF C&P Childcare Trust,6-10 David Street  ,BURPENGARY,QLD,4505,3888 5566,3888 0522,burpengaryprep@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,150,10/6/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $80.50, 25 months - 5 years: $77.50""",,T,,,,,,,,
SE-00001618,PR-00001129,Long Day Care,Goodstart Early Learning Burpengary - Buckley Road,Goodstart Early Learning Ltd,113 -117 Buckley Road  ,BURPENGARY,QLD,4505, 07 5497 8366,,hti@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45 pm to 4:45 pm when it is 86 children This service is approved to provide a rest period from 12:00 pm to 2:00 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/burpengary-buckley-road/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $88.10, 25 months - 35 months: $82.50, 36 months - 6 years: $80.40""",6.00am - 6.00pm,T,T,,,,,,,
SE-00011367,PR-00006559,Outside Hours Care,Helping Hands Burpengary,Helping Hands Network Foundation Ltd,Burpengary State School   35 Station Road,BURPENGARY,QLD,4505,0458 010 433,5341 8958,burpengary@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,75,12/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,
SE-40000221,PR-00006559,Outside Hours Care,Helping Hands Burpengary Meadows,Helping Hands Network Foundation Ltd,153 Rowley Rd  ,BURPENGARY,QLD,4505,07 3888 6131,,burpengarymeadows@helpinghandsnetwork.com.au,,55,1/30/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,
SE-00000618,PR-00000729,Long Day Care,Lead Childcare Burpengary 1,Lead Childcare Pty Ltd ATF The J R Trust,76 Pitt Road  ,BURPENGARY,QLD,4505,07 3888 2350,3888 5319,burpengary1@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/15/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.leadchildcare.com.au/centre/burpengary-1/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $76.00, 13 months - 24 months: $75.00, 25 months - 5 years: $73.00""",6.30am - 6.30pm,,,,,,,,,
SE-40000209,PR-00000729,Long Day Care,Lead Childcare Burpengary 2,Lead Childcare Pty Ltd ATF The J R Trust,76 Pitt Rd  ,BURPENGARY,QLD,4505,07 3888 5559,,burpengary2@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,8/23/01,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.leadchildcare.com.au/centre/burpengary-2/,"""ages 36 months to 5 years""","""36 months - 5 years: $73.00""",6.30am - 6.30pm,,,,,,,,,
SE-00001122,PR-00000702,Outside Hours Care,St Eugene's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Springfield Drive  ,BURPENGARY,QLD,4505,07 3888 4600,3888 8395,burpengaryoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,105,11/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""BSC: $13.00, ASC: $15.00, VC: $42.00""","""BSC: 6.30am - 9.00am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,
SE-00000409,PR-00000973,"""Long Day Care, Out of Hours Care""",Bright Horizons Australia Childcare Morayfield,Bright Horizons Australia Childcare Pty Ltd,1 Hillmont Crescent  ,MORAYFIELD,QLD,4506,07 5498 9199,5498 9179,morayfield@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth to and including school children.,68,7/27/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.bhchildcare.com.au/early-learning-centres-bright-horizons/queensland.html,"""ages 6 weeks - 12 years""","""6 weeks - 24 months: $77.00, 25 months - 35 months: $76.00, 36 months - 5 years: $74.00, BSC: $22.00, ASC: $26.00""",6.30am - 6.30pm,T,T,,,,,,,
SE-00002186,PR-00002539,Outside Hours Care*,Camp Australia Morayfield East OSHC,Camp Australia Pty Limited,Cnr Graham Rd & Glenwood Dve  ,MORAYFIELD,QLD,4506,0402 263 063,,qldmorayeast@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,66,7/20/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDMorayfieldEast/AC6C,"""ages 5 years to 12 years""","""BSC"" $16.97, ASC: $23.81, VC: $40.00""","""BSC: 6.30am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.30pm""",T,,,,,,,,
SE-00000462,PR-00001129,Long Day Care,Goodstart Early Learning Burpengary - Rowley Road,Goodstart Early Learning Ltd,71-77 Laurel Drive  ,MORAYFIELD,QLD,4506,07 3886 7094,,mfs@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,http://www.goodstart.org.au/centres/burpengary-rowley-road/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $84.00, 25 months - 5 years: $76.30""",6.00am - 6.00pm,T,T,,,,,,,
SE-00000515,PR-00001129,Long Day Care,Goodstart Early Learning Morayfield 1,Goodstart Early Learning Ltd,153-157 Graham Road  ,MORAYFIELD,QLD,4506,07 5497 9900,5497 9225,kdq@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,129,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/morayfield/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $82.30, 25 months - 6 years: $73.60""",6.00am - 6.00pm,T,T,,,,,,,
SE-00001874,PR-00000817,Long Day Care,Little Diggers Early Learning Centre,Little Diggers Elc Pty Ltd,124 - 128 Petersen Rd  ,MORAYFIELD,QLD,4506,5497 9341,5497 9347,admin@littlediggers.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/23/12,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.littlediggers.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.15pm,T,T,,,,,,,
