ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001105,PR-00006559,OSHC,Helping Hands Belmont,Helping Hands Network Foundation Ltd,Cnr Old Cleveland & Scrub Rds  ,CARINDALE,QLD,4152,TBA,TBA,belmont@helpinghandsnetwork.com.au, An approved alternative solution relating to performance criteria P18 Accessibility within MP5.4 Child Care Centres of Queensland Development Code (with publication date of 16 November 2007) applies to this service.,180,3/23/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,,"""BSC: 6:45 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:45am - 6:00pm""",,,,,,F,,,,,,,,,,,,,,,
SE-00000939,PR-00000365,OSHC,Mayfield State School Outside School Hours Care,Mayfield State School P & C Association,Paget Street  ,CARINA,QLD,4152,07 3398 9599,07 3843 7300,admin@mayfieldoshc.com.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,105,2/4/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://mayfieldss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $9.70, ASC: $14.00, VC: $42.00""","""BSC: 6:45 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000733,PR-00000167,Child care,Mother Duck Child Care and Preschool Centre Carindale,Batterham Family Investments Pty Ltd,40 Scrub Road  ,CARINDALE,QLD,4152,07 3843 5577,07 3843 5577,carindale@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,98,7/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.motherduck.com.au,6 weeks - 5 years,,6:30am - 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-40000474,PR-00000702,OSHC,Our Place Junior Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Martin School  66 Broadway St,CARINA,QLD,4152,733987180,,carinaoshc@bne.centacare.net.au,,60,8/20/12,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stmartinscarina.qld.edu.au/parent-information/Pages/Outside-Hours-School-Care.aspx,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $33.00""","""BSC: 7:00 - 8:30am, ASC: 2:45 - 5:45pm, VC: 7:30am - 5:45pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000949,PR-00000702,OSHC,Our Place OSHC - Carina,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,10 Nyrang Street  ,CARINA,QLD,4152,07 3398 7757,33987757,carinaoshc@bne.centacare.net.au,,75,10/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $33.00""","""BSC: 7:00 - 8:30am, 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001142,PR-00000659,OSHC,PCYC Carindale - Carina School Age Care,Queensland Police-Citizens Youth Welfare Association ,Carina State School  1413 Creek Road,CARINA,QLD,4152,3900 9621,07 3398 9694,carinasac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service.,75,10/21/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Carindale-Carina.aspx,5 - 12 years,"""BSC: $17.00, ASC: $22:00, VC: $45.00 + $20.00 membership fee""","""BSC: 7:45 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-40000621,PR-00000659,OSHC,PCYC Carindale School Age Care,Queensland Police-Citizens Youth Welfare Association ,Carindale PCYC  27 Narracott St,CARINA,QLD,4152,07 3324 9652,,david.beard@pcyc.org.au,,120,4/24/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Carindale.aspx,5 - 12 years,"""VC: $45.00 + $20.00 membership fee""",7:00am - 6:00pm,T,F,F,,,T,,,,,,,,,,,,,,,
SE-00002189,PR-00001065,"Child care, OSHC",Seeds Early Learning Centre,Tustin Developments Pty Ltd ATF Tustin Investment Trust,1 Epala Street  ,CARINDALE,QLD,4152,07 3843 6170,07 3843 0345,carindale@seedsearlylearning.com.au , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 monthsÂ up to and including over preschool age not including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm from Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,2/15/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.seedsearlylearning.com.au,6 weeks -  12 years,"""15 - 30 months: $90.00, 30 - 36 months: $86.00, 3 - 4 years: $83.00, 4 - 5 years: $82.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001000,PR-00000702,OSHC,St Thomas Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,36 Stephen Street  ,CAMP HILL,QLD,4152,07 3398 4419,07 3398 4419,camphilloshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility of SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,60,10/10/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,"""BSC: $12.00, ASC: $17.00, VC: $33.00""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000039,PR-00000647,Child care,The Salvation Army Carina Child Care Centre,The Salvation Army (Qld) Property Trust,202 Gallipoli Road  ,CARINA,QLD,4152,07 3395 0744,3843 0908,carina.childcare@aue.salvationarmy.org, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,47,6/2/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://salvos.org.au/carindale/carina-child-care-centre-and-kindergarten/,15 months - 5 years,"""15 months - 2 years: $76.00, 2 - 3 years: $73.00, 3 - 6 years: $70.00""",7:00am - 6:00pm,,,,,,T,,,,,,,,,,,,,,,
SE-00000481,PR-00001129,Child care,Goodstart Early Learning Belmont,Goodstart Early Learning Ltd,Cnr Belmont Road And  Burstall Avenue,BELMONT,QLD,4153,07 3890 2462,,bel@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/belmont/overview,6 weeks -  6 years,"""6 weeks - 12 months: $91.20, 13 - 24 months: $90.20, 25 - 35 months: $85.60, 3 - 6 years: $80.30""",7:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00014021,PR-00008029,School hours care,C&K Gumdale Community Kindergarten,The Creche and Kindergarten Association Limited, 301 Tiley Road   ,GUMDALE,QLD,4154,07 3390 5820,07 3390 4298,gumdale@candk.asn.au,,48,7/20/12,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/gumdale,3.5 - 4.5 years,"""3.5 - 4.5 years: 28.00""",,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000968,PR-00000537,OSHC,Gumdale OSHC,Gumdale Outside School Hours Care Association Incorporated,677 New Cleveland Road  ,GUMDALE,QLD,4154,073890 4389,07 3890 7573,gumdaleoshc@bigpond.com, The maximum number of children able to be provided with education and care before school is 100. The maximum number of children able to be provided with education and care during school holidays is 100. The maximum number of children able to be provided with education and care after school is 200.,200,6/30/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.gumdaleoshc.com.au/,5 - 12 years,"""BSC: $8.50 - $10.50, ASC: $11.00 - $13.00, VC: $30.00 - $35.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001902,PR-00001078,Child care,Kindy Kapers Early Learning Centre Wakerley ,Wakerley Holdings Pty Ltd,17 Dianthus Street  ,WAKERLEY,QLD,4154,07 33488764,,Wakerley@kindykapers.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,110,8/19/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,6 weeks - 5 years,"""6 weeks - 24 months: $87.50, 3 - 5 years: $79.00""",6:45am - 5:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00002299,PR-00001148,OSHC,All 4 Kids Mt Petrie Outside School Hours Care,All 4 Kids Child Care Support Pty Ltd,950 Mt Gravatt-Capalaba Road  ,MACKENZIE,QLD,4156,0412 980 218,3349 1015,jarika.all4kids@gmail.com,,30,8/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://mackenziess.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $10.00, ASC: $17.00, VC: $37.00 + $20.00 membership fee""","""BSC: 7:00 - 9:00am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000755,PR-00000089,"Child care, OSHC",Burbank Community Child Care Centre,Sinai College,20 Moxon Road  ,BURBANK,QLD,4156,07 3349 9071,3349 9043,director@burbank-childcare.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,40,6/12/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://burbank-childcare.com/,15 months - 12 years,"""15 months - 5 years: $50.00 - $65.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000683,PR-00000927,Child care,Bambini Early Childhood Development - Brisbane,Gabrielle Giufre,33 Mt Cotton Road  ,CAPALABA,QLD,4157,07 3245 3055,07 3245 6265,capalaba@bambiniecd.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,10/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.bambiniecd.com.au,15 months - 5 years,"""15 months - 2 years: $78.00, 25 months - 5 years: $75.00""",6:30 am - 6:00 pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-40000753,PR-00001163,Child care,Capalaba Child Care and Early Education Centre,Eskay Kids Pty Ltd,39 Holland Crescent  ,CAPALABA,QLD,4157,738231145,,admin@eskaykids.com.au,,77,12/1/12,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.eskaykids.com.au/,6 weeks - 5 years,"""6 weeks - 35 months: $75.00, 36 months - 5 years: $74.00""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00001972,PR-00001237,Child care,Capalaba Kids Early Learning Centre,Yahka Childcare Pty Ltd as Trustee for Yahka Childcare Trust,155 Mt Cotton Road  ,CAPALABA,QLD,4157,07 3390 1011,,director1@capalabakids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria 8 - Nappy Change Facilites with SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,150,10/24/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,6 weeks - 5 years,"""6 weeks - 35 months: $76.00, 36 months - 5 years: $76.00""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000558,PR-40001140,Child care,Capalaba Kindergarten,Ask Kids Pty Ltd,48-54 Holland Crescent  ,CAPALABA,QLD,4157,07 3390 1640,07 3245 6445,capalabakindy@gmail.com, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,36,10/31/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.capalabakindy.com.au/,3 - 5 years,"""3 - 5 years: $57.00""",7:00am - 3:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000668,PR-00001129,Child care,Goodstart Early Learning Capalaba - Almara Street 1,Goodstart Early Learning Ltd,13 Almara Street  ,CAPALABA,QLD,4157,07 3390 2259,,cap@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/capalaba-almara-street/overview,6 weeks - 6 years,"""6 weeks - 12 months: $88.20, 13 - 24 months: $87.10, 25 months - 6 years: $78.90""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000224,PR-00001129,Child care,Goodstart Early Learning Capalaba - Greenup Street,Goodstart Early Learning Ltd,9 Greenup Street  ,CAPALABA,QLD,4157,07 3245 1365,07 3245 1140,ccl@goodstart.org.au,,65,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/capalaba-greenup-street,6 weeks -  5 years,"""6 weeks - 12 months: $85.80, 13 - 24 months: $84.70, 25 - 35 months: $76.00, 36 months - 5 years: $74.40""",6:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000970,PR-00000250,OSHC,Jabiru Kids Coolnwynpin,Jabiru Community Youth & Children's Services Association Inc,Coolnwynpin State School  6 Telaska Court,CAPALABA,QLD,4157,0407 586 896,,leonie@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,59,7/20/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.jabiru.org.au/kids/index.php?s=Coolnwynpin,5 - 12 years,,6:30am - 6:00pm,"""Breakfast, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000969,PR-00000659,OSHC,PCYC Redlands - Capalaba School Age Care,Queensland Police-Citizens Youth Welfare Association ,Capalaba College  Crn Mt Cotton Road and School Road,CAPALABA,QLD,4157,0408 910 900,,capalabasac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,50,7/20/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Redlands-Capalaba.aspx,5 - 12 years,"""BSC: $16.50, ASC: $20.50 + $20.00 membership fee""","""BSC: 6:30 - 9:00am, ASC: 2:45 - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000870,PR-00000659,OSHC,PCYC Redlands School Age Care,Queensland Police-Citizens Youth Welfare Association ,Redlands PCYC  Cnr Mt Cotton and Degen Roads,CAPALABA,QLD,4157,07 3245 4639,07 3824 7791,leanne.jays@pcyc.org.au, An approved alternative solution relating to Performance Criteria P7 Toliet Facilites within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applied to this service. The use of a urinal is accepted as two toilets. An approved alternative solution relating to Performance Criteria P6 Combined Play Spaces within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applied to this service. The combined play space area of 15.25m2 per child includes indoor play space able to offer outdoor activities. The maximum number of children able to be provided with education and care during school holidays is 135 The maximum number of children able to be provided with education and care before school is 30 The maximum number of children able to be provided with education and care after school is 60,135,1/23/09,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,5 - 12 years,"""BSC: $13.50, ASC: $17.50, VC: $40.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001225,PR-00000723,OSHC,"Sheldon College ""Our Place""",Sheldon College Foundation Limited,Lot 4 Taylor Road  ,SHELDON,QLD,4157,07 3206 5575,07 3206 5588,k.fortnum@sheldoncollege.com, An approved alternative solution relating to Performance Criteria P10 Food preparation facilities within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 1 November 2004) applies to this service.,89,2/9/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $11.00, ASC: $20.00, VC: $49.00""","""BSC: 7:00 - 9:30am, ASC: 2:45 - 6:15pm, VC: 6:30am - 6:15pm""","""Afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001991,PR-00000723,School hours care,Sheldon College Kindergarten,Sheldon College Foundation Limited,Lot 5 Taylor Road  ,SHELDON,QLD,4157,07 3206 5575,07 3206 5588,l.bishop@sheldoncollege.com, This service is approved to provide a rest period from 11.30am to 1.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,7/11/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.sheldoncollege.com/kindergarten/,3.5 - 4.5 years,"""3.5 - 4.5 years: $47.42 per day + $60.00 stationery pack per term""",8:20am - 3:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001990,PR-00000723,Child care,Sheldon College Wonderland Early Learning Centre,Sheldon College Foundation Limited,Lot 5  Taylor Road,SHELDON,QLD,4157,07 3206 5555,07 3206 5588,enquiries@sheldoncollege.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,3/13/10,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.sheldoncollege.com/day-care/,15 months - 5 years,"""15 months - 24 months: $76.00, 25 months - 5 years: $73.00""",6:30am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002151,PR-00000702,Child care,St Luke's Catholic Parish Child Care Centre,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,51 Degen Road  ,CAPALABA,QLD,4157,07 3245 3300,07 3245 3328,capalabaldc@bne.centacare.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,10/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 35 months: $79.80, 3 - 5 years: $75.80""",7:00am - 6:00pm,T,F,F,F,,F,,,,,,,,,,,,,,,
SE-00001088,PR-00000702,OSHC,St Lukes Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,45 Degen Road  ,CAPALABA,QLD,4157,0477 550 073,,capalabaoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,50,7/20/11,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,5 - 12 years,,"""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001739,PR-00001129,Child care,Goodstart Early Learning Thorneside ,Goodstart Early Learning Ltd,231 Thorneside Rd  ,THORNESIDE,QLD,4158,07 3822 6077,,tsd@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,100,11/30/11,Working Towards NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,http://www.goodstart.org.au/centres/thorneside/overview,6 weeks - 5 years,"""6 weeks - 24 months: $79.50, 25 months - 5 years: $73.90""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
