ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00002256,PR-00000927,Long Day Care,Bambini Early Childhood Development Centre Meridan Plains ,Gabrielle Giufre,62 Meridan Way  ,MERIDAN PLAINS,QLD,4551,753418203,53418205,meridanplains@bambiniecd.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,180,7/30/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.bambiniecd.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $80.00, 36 months - 5 years: $77.00""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00013978,PR-00000927,Long Day Care,Bambini Early Childhood Development Sunshine Coast ,Gabrielle Giufre,39 Lomond Crescent     ,CALOUNDRA WEST ,QLD,4551,07 54381433, ,caloundra@bambiniecd.com.au, This service is approved to provide education and care to children from birth up to and including school children.,118,7/7/16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.bambiniecd.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $82.00, 13 months - 24 months: $79.00, 25 months - 35 months: $77.00, 36 months - 5 years: $76.00""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001609,PR-00000515,Long Day Care,Bella Grace Early Learning Centre Aroona,Bella Grace Aroona Pty Ltd ATF B G Aroona Unit Trust ,141 Beerburrum St  ,AROONA,QLD,4551,5438 1414,54381415,helen@bellagrace.com.au; sue@bellagrace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/9/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.bellagrace.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $74.00, 13 months - 24 months: $78.00, 25 months - 35 months: $76.00, 36 months - 5 years: $75.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000127,PR-00008029,Long Day Care,C&K Caloundra Community Child Care Centre,The Creche and Kindergarten Association Limited,10 Thrush Street  ,CALOUNDRA,QLD,4551,07 5491 2105,,caloundra@candk.asn.au, This service is approved to provide education and care to children from birth up to and including school children.This service is approved to provide a rest period from   12.00pm to 2.00pm on - Monday to Friday. This condition expires on 31 December 2019- subject to the provisions of Regulation 310 (1)	This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,60,3/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/caloundracc,"""ages 6 weeks to 5 years""","""6 weeks to 5 years: $81.10""",7.00am - 5.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00000125,PR-00008029,Long Day Care,C&K North Caloundra Community Child Care Centre,The Creche and Kindergarten Association Limited,113 Cooroora Street  ,CALOUNDRA,QLD,4551,07 5491 6288,5491 6288,northcalounda@candk.asn.au, This service is approved to provide education and care to children from birth up to and including Preschool age not including school children.The service is approved to provide a rest period from 12.00pm to 2.00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1).,44,10/4/16,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/northcaloundra,"""ages 6 weeks to 4 years""","""6 weeks to 5 years: $81.10""",7.00am - 5.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00014044,PR-00008029,Short Day Care,C&K Queen Street Community Kindergarten,The Creche and Kindergarten Association Limited,56B Queen Street   ,CALOUNDRA,QLD,4551,5341 8560,,queenstreet@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and  including over preschool age not including school children.,24,7/21/16,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/queenstreet,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002031,PR-00000923,Outside Hours Care*,Caloundra Christian College Outside School Hours Care,Caloundra Christian College Ltd,7 Gregson Place  ,CALOUNDRA,QLD,4551,0422 843 760,5491 5103,oshc@calcc.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,45,7/31/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.calcc.qld.edu.au/index.php/our-school/oshc,"""ages 5 years to 12 years""","""ASC: $16.00""","""ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001742,PR-00000923,Short Day Care,Caloundra Christian Community Kindergarten,Caloundra Christian College Ltd,7 Gregson Place  ,CALOUNDRA,QLD,4551,5436 6797,,kindy@calcc.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,44,3/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.calcc.qld.edu.au/index.php/our-school/early-learning-centre,"""ages 3.5 years to 4.5 years""",,8.45am - 2.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00001754,PR-00000725,Outside Hours Care,Caloundra City Private  School OSHC,Caloundra City School Limited,Pelican Waters Boulevard  ,PELICAN WATERS,QLD,4551,5437 5800,54 923 038,oshc@ccs.qld.edu.au, An approved alternative solution relating to Performance Criteria P16 within SP5.4 – Child Care Centres of the Queensland Development Code with a publication date of 1 November 2004 applies to this service. This service is approved to provide education and care to children from 36 months including school children.,40,2/1/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://ccps.qld.edu.au/about/facilities/outside-school-hours-care,"""ages 5 years to 12 years""","""BSC: $10.00,ASC: $20.00, VC: $46.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 8.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001309,PR-00000299,Short Day Care,Caloundra Community Kindergarten,Caloundra Community Kindergarten Association Inc,Cowan Street  ,CALOUNDRA,QLD,4551,07 5491 1746,5491 1743,caloundrakindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,4/30/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/caloundra,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $750.00 per tem*",8.30am - 2.30pm,F,,,,,F,$10.00,F,,,,,,,,,,,,,
SE-00013997,PR-00006557,Out of Hours Care,Camp Australia - Meridan OSHC ,The Camp Australia Foundation Ltd,214 Parkland Boulevard    ,MERIDAN PLAINS,QLD,4551,423550621,38067147,danniellew@campaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,70,6/20/16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.campaustralia.com.au/Service/QLDMeridanStateCollege/DE8D,"""ages 5 years to 12 years""","""BSC: $12.87, ASC: $18.96, PFD: $45.00""","""BSC: 6.30am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.30pm""",F,,,,,,,,,,,,,,,,,,,,
SE-00002325,PR-00007772,Family Day Care,CCM: Cherub Childminding Services Family Day Care Scheme,CMM Cherubs Pty Ltd ATF The Cherub Childminding Services Trust ,7 Birch Street  ,CALOUNDRA WEST,QLD,4551,07 53418441,,mail@cherubshub.com; info@cherubshub.com.au,,0,5/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.cherubshub.com/content/6/childminding-services.aspx,"""ages 6 weeks to 12 years""","""FDC: $6.50 - $12.00ph, BSC: $6.50 - $12.00, ASC: $6.50 - $12.00""",,F,,,,,,,,,,,,,,,,,,,,
SE-00013958,PR-00000725,Short Day Care,City Stars Kindergarten,Caloundra City School Limited,Caloundra City Private School   Pelican Waters Blvd,PELICAN WATERS ,QLD,4551,54375877,54923038,mshort@ccs.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and  including over preschool age not including school children.,24,6/13/16,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://ccps.qld.edu.au/our-schools/city-stars-kindergarten,"""ages 36 months to 5 years""","""36 month - 5 years: $49.00""",8.30am - 3.00pm,F,,,,,,,,,,,,,,,,,,,,
SE-00000861,PR-00000636,Outside Hours Care,Currimundi After School & Vacation  Care,Currimundi State School P & C Association,Currimundi State School  17 Buderim Street,CURRIMUNDI,QLD,4551,0412 264 756,,curriasc@optusnet.com.au, The maximum number of children able to be provided with education and care after school is 35 The maximum number of children able to be provided with education and care before school is 30 The maximum number of children able to be provided with education and care during school holidays is 42 This service is approved to provide education and care to children from over preschool age including school age children.,42,9/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://currimunss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.30am, ASC: 2.40pm - 5.45pm, VC: 6.30am - 5.45pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001651,PR-00000691,Long Day Care,Currimundi Campus ,Detoea Investments Pty Ltd ,38 Bellara Dve  ,CURRIMUNDI,QLD,4551,54997322,54919913,celc@australis.net, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 111 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children,99,7/24/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.currimundicampus.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000598,PR-00000905,"""Long Day Care, Out of Hours Care""",Currimundi Child Care and Education Centre,A & G Griffiths Pty Ltd ATF Griffiths Family Trust,29 Buderim Street  ,CURRIMUNDI,QLD,4551,07 5492 6688,54 927766,kids@curricare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:00pm when it is 75 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,66,6/25/14,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.currimundichildcare.com.au/,"""ages 13 months - 5 years""","""13 months - 5 years: $74.00""",6.45am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00001335,PR-00000665,Short Day Care,Currimundi Community Kindergarten and Pre School,Currimundi Community Kindergarten and Pre School Association Inc,Saracen Street  ,CURRIMUNDI,QLD,4551,07 5491 6232,5491 6232,currimundikindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,7/5/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.currimundikindy.com.au/www.currimundikindy.com.au/Welcome.html,"""ages 3.5 years o 4.5 years""",,8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00000335,PR-00001129,Long Day Care,Goodstart Early Learning Caloundra,Goodstart Early Learning Ltd,1B Baldwin Street  ,CALOUNDRA,QLD,4551,07 5492 5505,,htm@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/1/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/caloundra/overview,"""ages 15 months to 6 years""","""13 months - 24 months: $84.20, 25 months - 6 years: $78.10""",6.15am - 6.15pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00002129,PR-00001129,Long Day Care,Goodstart Early Learning Little Mountain - Gumtree Pocket Court ,Goodstart Early Learning Ltd,1 Gumtree Pocket Court  ,LITTLE MOUNTAIN,QLD,4551,54911244,,lmo@goodstart.org.au, The maximum number of school children is 15. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,101,12/1/15,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.goodstart.org.au/centres/little-mountain-gumtree-pocket-court/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $82.50, 25 months - 35 months: $78.50, 36 months - 5 years: $76.40""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000690,PR-00001129,Long Day Care,Goodstart Early Learning Little Mountain - Keneland Drive,Goodstart Early Learning Ltd,2A Keneland Drive  ,LITTLE MOUNTAIN,QLD,4551,07 5492 8044,,lmt@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,62,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/little-mountain-keneland-drive/overview,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $81.40, 13 months - 24 months: $79.30, 25 months - 5 years: $73.70""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000696,PR-00001129,Long Day Care,Goodstart Early Learning Little Mountain - Mark Road West,Goodstart Early Learning Ltd,55 Mark Road  ,LITTLE MOUNTAIN,QLD,4551,07 5491 3966,,hto@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,53,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/little-mountain-mark-road-west/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $81.90, 25 months - 35 months: $76.30, 36 months - 5 years: $75.30""",6.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-40000362,PR-00006559,Out of Hours Care,Helping Hands Bucasia,Helping Hands Network Foundation Ltd,Bucasia State School  Kemp St,BUCASIA,QLD,4551,0427 007 113,,bucasia@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,44,1/23/17,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001061,PR-00006559,Out of Hours Care,Helping Hands Caloundra,Helping Hands Network Foundation Ltd,Caloundra State School  56A Queen Street,CALOUNDRA,QLD,4551,0457 735 704,07 5443 1177,caloundra@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,37,1/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002072,PR-00001030,Out of Hours Care,Helping Hands Golden Beach ,Helping Hands Network Pty Ltd,Golden Beach State School  Gregory Street,GOLDEN BEACH,QLD,4551,459991748,,goldenbeach@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,45,10/18/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001988,PR-00001030,Out of Hours Care,Helping Hands Talara,Helping Hands Network Pty Ltd,Talara Primary Collegge  Talara Street,CURRIMUNDI,QLD,4551,0459 990 650,,talara@helpinghandsnetwork.com.au, An approved alternative solution relating to Performance Criteria P19  within SP5.4 – Child Care Centres of the Queensland Development Code with a publication date of 23 November 2005 applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,90,1/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001910,PR-00000702,Out of Hours Care*,Our Lady Of The Rosary Primary School OSHC Caloundra,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Alfred St  ,CALOUNDRA,QLD,4551,0428 246 222,,caloundraoshc@ene.centacare.net.au, The maximum number of children able to be provided with education and care after school is 40 The maximum number of children able to be provided with education and care before school is 20 The maximum number of children able to be provided with education and care during school holidays is 40 This service is approved to provide education and care to children from over preschool age including school children.,40,7/26/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.olr.qld.edu.au/Pages/default.aspx,"""ages 5 years to 12 years""","""BSC: $14.00, ASC: $17.00, VC: $42.00""",,,,,,,,,,,,,,,,,,,,,,
SE-00013964,PR-00000697,Long Day Care,Pacific Lutheran Early Learning,Lutheran Church of Australia Queensland District,Woodlands Boulevard     ,MERIDAN PLAINS,QLD,4551,54367300,54367301,szweck@pacluth.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and including school children.,46,12/23/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.pacificlutheran.qld.edu.au/index.php/learning_journey/pacific_community_kindergarten/,"""ages 36 months - 5 years""",,6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001238,PR-00000697,Outside School Hours Care*,Pacific Lutheran Outside School Hours Care,Lutheran Church of Australia Queensland District,Woodlands Blv  ,BIRTINYA,QLD,4551,07 5436 7328,07 5436 7301,oshc@pacluth.qld.edu.au, The maximum number of children able to be provided with education and care after school is 35 The maximum number of children able to be provided with education and care before school is 20 The maximum number of children able to be provided with education and care during school holidays is 35,35,7/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.pacificlutheran.qld.edu.au/index.php/community/pacific_outside_school_hours_care_program/,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000124,PR-40000049,Long Day Care,Pelican Waters - Golden Beach Preschool Kindergarten and Child Care,G&S Inglis Pty Ltd,16 Anning Avenue  ,GOLDEN BEACH,QLD,4551,07 5492 1777,07 54923519,pwgb.childcare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,40,6/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.pelicanwaterskindergarten.com.au/,"""ages 15 months - 5 years""","""15 months - 5 years: $71.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002099,PR-00000725,Long Day Care,Pelican's Nest Early Learning Centre,Caloundra City School Limited,Caloundra City Private School  Pelican Waters Boulevard,PELICAN WATERS,QLD,4551,5437 5850,5437 5855,rmclaughlin@ccs.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,3/19/15,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://pelicansnest.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $72.00, 13 months - 5 years: $70.00""",6.30am - 6.30pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000808,PR-00000702,Family Day Care,Sunshine Coast Family Day Care Scheme,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,61 Edridge Street   ,CALOUNDRA,QLD,4551,07 5491 1414,54917703,adminscfdc@caloundracatholic.net.au,,0,7/6/14,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.sunshinecoastfamilydaycare.com.au/,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00001847,PR-00000791,Short Day Care,Ananda Marga River School Early Childhood Centre,Ananda Marga Education Ltd ,251 Bridge Creek Road  ,MALENY,QLD,4552,54943559,54943577,AMRSECC@amriverschool.org, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,39,8/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.amriverschool.org/early-childhood-centre/,"""ages 30 months to 5 years""","""30 months - 5 years: $70.00""",8.00am - 4.00pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00001411,PR-00008029,Short Day Care,C&K Maleny Community Kindergarten,The Creche and Kindergarten Association Limited,15 Cedar Street  ,MALENY,QLD,4552,07 5494 2330,,maleny@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,11/7/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/maleny,"""ages 3.5 years to 5.5 years""",,8.00am - 3.30pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00000390,PR-00001129,Long Day Care,Goodstart Early Learning Maleny,Goodstart Early Learning Ltd,4 Walkers Drive  ,MALENY,QLD,4552,54 999 888,,mal@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 75 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/maleny/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $81.60, 25 months - 6 years: $76.00""",7.00am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
